,importance
general_average,0.11508549865683483
failed_subjects,0.07075507928682014
behavior_teacher_rating_AO,0.05945653938566941
attendance_rate,0.049297806263695086
esp_grade,0.04897134276250648
filipino_grade,0.046591534027332446
mapeh_grade,0.04621514171408511
science_grade,0.04561990254631867
araling_panlipunan_grade,0.04426456278730066
mathematics_grade,0.04278690253595905
english_grade,0.04032767804438267
tle_grade,0.039843942212831406
absent_days,0.03758793303673487
absent_percentage,0.029739513361316014
present_days,0.029547426256059793
high_grade_count,0.025892586140544717
late_percentage,0.019037460780204973
late_days,0.018267766626673
behavior_teacher_rating_RO,0.016453811666575453
excused_absences,0.014300406034728628
