mathematics_grade,english_grade,science_grade,filipino_grade,araling_panlipunan_grade,esp_grade,mapeh_grade,tle_grade,general_average,failed_subjects,present_days,absent_days,late_days,excused_absences,attendance_rate,absent_percentage,late_percentage,high_grade_count,has_intervention,number_of_interventions,school_year_2024-2025,school_year_2025-2026,grade_level_Grade 10,grade_level_Grade 4,grade_level_Grade 5,grade_level_Grade 6,grade_level_Grade 7,grade_level_Grade 8,grade_level_Grade 9,section_A,section_B,section_C,section_D,behavior_core_value_Compassion,behavior_core_value_Excellence,behavior_core_value_Integrity,behavior_core_value_Respect,behavior_core_value_Responsibility,behavior_indicator_Completes assignments on time,behavior_indicator_Demonstrates effort and perseverance,behavior_indicator_Displays kindness and empathy,behavior_indicator_Practices honesty,behavior_indicator_Shows respect to teachers and peers,behavior_teacher_rating_AO,behavior_teacher_rating_NO,behavior_teacher_rating_RO,behavior_teacher_rating_SO,intervention_type_Academic Monitoring,intervention_type_Attendance Monitoring,intervention_type_Behavioral Monitoring,intervention_type_Counseling,intervention_type_Guidance Referral,intervention_type_Mentoring,intervention_type_Parent/Guardian Conference,intervention_type_Tutoring,intervention_type_Unknown,intervention_outcome_Improved,intervention_outcome_No Change,intervention_outcome_Not Yet Evaluated,intervention_outcome_Ongoing,intervention_outcome_Unknown,intervention_outcome_Worsened
86.05,80.83,81.22,88.66,83.82,98.04,81.4,84.32,85.54,0,99,1,0,1,98.75,0.99999999999,0.0,1,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
89.53,80.88,74.76,71.33,74.59,87.0,81.54,81.66,80.16,0,98,2,4,0,95.5,1.99999999998,3.99999999996,0,1,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
83.49,83.05,87.65,88.81,85.3,77.07,89.02,88.77,85.39,0,99,1,2,1,97.75,0.99999999999,1.99999999998,0,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
76.09,93.62,81.85,80.96,79.48,92.13,93.9,75.85,84.23,0,100,0,0,1,100.0,0.0,0.0,3,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
67.53,68.97,69.04,61.67,56.63,60.49,71.38,64.1,64.98,3,98,2,2,0,96.5,1.99999999998,1.99999999998,0,1,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
70.23,71.77,82.8,86.78,85.28,85.92,78.69,69.79,78.91,0,100,0,1,1,99.5,0.0,0.99999999999,0,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
79.38,91.24,71.6,77.27,88.95,88.09,84.92,78.83,82.53,0,100,0,1,1,99.5,0.0,0.99999999999,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
58.23,86.3,83.12,74.78,75.79,80.61,82.9,81.74,77.93,0,100,0,0,1,100.0,0.0,0.0,0,1,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
74.99,69.22,73.19,81.07,78.58,60.38,61.88,67.68,70.87,2,99,1,2,1,97.75,0.99999999999,1.99999999998,0,1,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
76.37,83.58,71.79,81.17,61.04,88.01,73.21,80.99,77.02,0,99,1,1,0,98.25,0.99999999999,0.99999999999,0,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
