student_id,school_year,grade_level,section,assessment_quarter,mathematics_grade,english_grade,science_grade,filipino_grade,araling_panlipunan_grade,esp_grade,mapeh_grade,tle_grade,general_average,failed_subjects,present_days,absent_days,late_days,excused_absences,attendance_rate,behavior_core_value,behavior_indicator,behavior_teacher_rating,behavior_quarter,teacher_remarks,intervention_type,intervention_date,intervention_reason,intervention_outcome,improved_after_intervention,risk_status,absent_percentage,late_percentage,high_grade_count,has_intervention,number_of_interventions,risk_label
ST-0001,2024-2025,Grade 4,C,2,77.63,75.52,76.49,72.52,69.42,72.41,76.63,82.77,75.42,1,99,1,0,1,98.75,Responsibility,Practices honesty,NO,2,Needs follow-up on attendance and punctuality,Unknown,,,Unknown,,Not At Risk,0.99999999999,0.0,0,1,1,0
ST-0002,2025-2026,Grade 5,B,3,75.19,78.48,71.91,77.45,79.07,75.88,74.89,87.55,77.55,1,99,1,1,0,98.25,Compassion,Shows respect to teachers and peers,AO,3,Improving steadily in class participation,Unknown,,,Unknown,,Not At Risk,0.99999999999,0.99999999999,0,1,1,0
ST-0003,2024-2025,Grade 7,C,4,84.09,89.3,93.66,79.02,79.51,81.4,84.38,79.06,83.8,0,100,0,2,1,99.0,Respect,Completes assignments on time,SO,4,Shows potential but needs more consistency,Unknown,,,Unknown,,Not At Risk,0.0,1.99999999998,1,1,1,0
ST-0004,2025-2026,Grade 7,C,1,69.17,67.72,81.79,70.13,73.91,81.66,70.38,72.62,73.42,2,99,1,2,0,97.75,Excellence,Practices honesty,SO,1,Shows potential but needs more consistency,Unknown,,,Unknown,,At Risk,0.99999999999,1.99999999998,0,1,1,1
ST-0005,2024-2025,Grade 10,A,2,87.73,84.25,90.82,81.26,96.92,79.63,95.74,82.72,87.38,0,99,1,1,0,98.25,Integrity,Completes assignments on time,SO,2,Demonstrates positive effort in class,Unknown,,,Unknown,,Not At Risk,0.99999999999,0.99999999999,3,1,1,0
ST-0006,2024-2025,Grade 9,C,2,68.97,74.74,71.46,78.67,92.42,71.08,86.22,70.29,76.73,0,96,4,0,1,95.0,Responsibility,Shows respect to teachers and peers,NO,2,Improving steadily in class participation,Unknown,,,Unknown,,At Risk,3.99999999996,0.0,1,1,1,1
ST-0007,2024-2025,Grade 4,D,1,85.4,79.99,70.6,79.97,99.6,78.78,83.77,69.93,81.0,0,99,1,1,1,98.25,Integrity,Shows respect to teachers and peers,SO,1,Improving steadily in class participation,Unknown,,,Unknown,,Not At Risk,0.99999999999,0.99999999999,1,1,1,0
ST-0008,2024-2025,Grade 4,C,1,78.23,78.61,95.78,74.27,88.27,86.69,81.94,78.59,82.8,0,99,1,5,2,96.25,Integrity,Completes assignments on time,RO,1,Shows potential but needs more consistency,Unknown,,,Unknown,,At Risk,0.99999999999,4.99999999995,1,1,1,1
ST-0009,2024-2025,Grade 9,D,3,69.83,60.78,87.62,86.21,72.83,95.97,83.04,87.0,80.41,0,100,0,1,0,99.5,Integrity,Demonstrates effort and perseverance,AO,3,Shows potential but needs more consistency,Unknown,,,Unknown,,Not At Risk,0.0,0.99999999999,1,1,1,0
ST-0010,2024-2025,Grade 9,A,1,79.39,86.15,85.34,81.37,84.61,78.98,81.93,70.24,81.0,0,100,0,2,1,99.0,Responsibility,Completes assignments on time,RO,1,Needs follow-up on attendance and punctuality,Unknown,,,Unknown,,Not At Risk,0.0,1.99999999998,0,1,1,0
